id,timestamp,age,gender,direction
991cfc49-aa3b-436d-8882-c73bbb1a61b6,2025-01-01T08:03:02+0900,8,female,1
b3462136-b11c-4676-ab63-2f0caba37393,2025-01-01T08:03:03+0900,21,male,1
fb8a929e-047b-4978-87a3-5448e4a98103,2025-01-01T08:03:05+0900,21,female,1
674ac749-e1cd-4c04-b911-be56948771bd,2025-01-01T08:03:05+0900,24,male,1
3798d374-28df-4c2b-bd26-bb19509c2695,2025-01-01T08:03:05+0900,22,male,1
362f3e8f-5d46-4c52-bf13-5d587ae54181,2025-01-01T08:03:05+0900,14,female,1
382ef03b-086f-45ff-8891-66e4df1c9d44,2025-01-01T08:03:10+0900,17,female,1
0d44ecb7-997a-433e-938a-3719ac491e5e,2025-01-01T08:03:11+0900,14,male,1
e2339ce1-4adf-4f27-9127-8ecaf99f39d6,2025-01-01T08:03:16+0900,21,female,1
63b61fa8-db14-4ade-84bb-ef3c1e276305,2025-01-01T08:03:17+0900,23,male,1
8f0f727c-5bb9-4fcf-8316-72332aac540a,2025-01-01T08:03:20+0900,16,male,1
efb198f1-2072-4434-9451-d686392b8df3,2025-01-01T08:03:22+0900,19,female,1
5a712798-f48a-4e96-880d-8b19ad69c51a,2025-01-01T08:03:25+0900,19,male,1
56e469bd-57d5-4441-a4e5-287e09c11542,2025-01-01T08:03:27+0900,30,male,1
1f2dd5c6-22c0-41f2-9c4d-2d965536e5dd,2025-01-01T08:03:30+0900,19,male,1
cc034346-2608-410c-b840-2b67ff98bd1e,2025-01-01T08:03:31+0900,36,male,1
85e759e7-12c3-4c65-a1ce-679bd449cedd,2025-01-01T08:03:40+0900,38,male,1
1273aed0-f24a-49c2-84cf-0a86bdb705d7,2025-01-01T08:03:40+0900,16,male,1
65572d40-011f-4c46-b89e-f7844ad7a44a,2025-01-01T08:03:40+0900,22,male,1
4b72d1dc-0252-4c01-95ae-79b3e235f45d,2025-01-01T08:03:47+0900,22,male,1
ec2441ae-6ae8-48f5-8020-008112fe069b,2025-01-01T08:03:48+0900,26,female,1
10e7c241-7c4b-456f-9a9a-7154d94a4d60,2025-01-01T08:03:50+0900,15,male,1
8257e95b-bdab-4cc0-8479-789df7423c37,2025-01-01T08:03:51+0900,14,male,1
9499d8fd-5c70-4457-ba84-fc2606b740d0,2025-01-01T08:03:52+0900,17,female,1
c00561e6-d432-4bc8-8ebd-a5f91b536ba1,2025-01-01T08:03:53+0900,7,male,1
d4c4c023-bbc1-4c42-8a86-8b79655dc622,2025-01-01T08:03:56+0900,13,female,1
784ef15c-3373-40cb-b937-9baa732aac9e,2025-01-01T08:03:59+0900,13,female,1
