id,timestamp,age,gender,direction,shop_id
26f48549-ded5-4683-b9a1-de435ba7338f,2025-01-01T19:34:00+0900,26,male,-1,0123456
59453db6-a85f-4859-a395-856e29f07ebc,2025-01-01T19:34:00+0900,18,male,1,0123456
251eeebe-893d-438a-8789-a8c904685810,2025-01-01T19:34:00+0900,16,female,-1,0123456
1c8af1d0-66c1-4cec-b132-1829043f069a,2025-01-01T19:34:00+0900,18,male,1,0123456
de94d978-328c-4e57-87db-18e100122f00,2025-01-01T19:34:00+0900,21,male,-1,0123456
6b7afe3f-c108-4410-974d-1bd8ba3ade2b,2025-01-01T19:34:00+0900,16,female,1,0123456
f5bbba83-8bea-4cb5-9da7-aa7cb0010cc9,2025-01-01T19:34:01+0900,23,female,1,0123456
b7e1409f-91f7-4b96-b065-3d0eca1afadc,2025-01-01T19:34:01+0900,18,male,1,0123456
fd034d91-4a4f-467b-b8b1-84e585eecd8c,2025-01-01T19:34:01+0900,13,female,-1,0123456
f697c4a0-57b9-4a12-a288-208947acab15,2025-01-01T19:34:01+0900,11,male,-1,0123456
166a2be5-b74e-40a0-969e-f574bdfdb315,2025-01-01T19:34:01+0900,14,male,1,0123456
fc6ea5d6-ff06-4c9b-809e-09a9894c3942,2025-01-01T19:34:01+0900,12,female,1,0123456
17e2f6fc-8bcd-40c5-898a-e06a2393fc25,2025-01-01T19:34:01+0900,21,female,1,0123456
c0a038ee-fd03-459c-9287-e5b42840593e,2025-01-01T19:34:01+0900,22,female,1,0123456
06ae5205-bd32-4378-8631-3363fe857865,2025-01-01T19:34:01+0900,27,female,-1,0123456
c4cd63b2-ea1a-4449-8cac-04705a77e1d4,2025-01-01T19:34:01+0900,11,male,-1,0123456
06521b74-7895-4d65-98f1-b7917b1c135e,2025-01-01T19:34:01+0900,26,male,1,0123456
283db7ce-7033-4a44-9ef4-edff23ff7b5b,2025-01-01T19:34:01+0900,18,male,1,0123456
a0200047-d484-4aa5-b0f9-d9e22adcf9a0,2025-01-01T19:34:01+0900,19,male,-1,0123456
8fdb6a48-5c9c-4672-baea-e474184420be,2025-01-01T19:34:01+0900,14,male,-1,0123456
676493e6-a982-46e6-8280-b8fc2f315279,2025-01-01T19:34:02+0900,13,female,-1,0123456
9bef66a8-a1a2-4370-ad62-b51784396539,2025-01-01T19:34:02+0900,24,male,1,0123456
3c801765-6aec-4edc-a512-517367b90408,2025-01-01T19:34:02+0900,36,female,-1,0123456
44845eed-a29f-47dd-92ca-2646404ce485,2025-01-01T19:34:02+0900,16,female,-1,0123456
a9a572f7-5e51-4376-9763-2abfb0b3f84f,2025-01-01T19:34:02+0900,18,male,1,0123456
1a0d49e1-5d88-4e69-a9fd-7c4b4713ce7b,2025-01-01T19:34:02+0900,18,female,-1,0123456
23f7c571-5ad6-4189-9820-556696d45c95,2025-01-01T19:34:02+0900,20,female,1,0123456
d2e55517-3c1e-46ae-9b58-6f57166c34a8,2025-01-01T19:34:02+0900,16,male,-1,0123456
72ceadc0-d96d-4b0b-9da5-4985cf4274b3,2025-01-01T19:34:02+0900,16,female,1,0123456
f4127a7f-bb0e-4c38-bb4a-829c56694c12,2025-01-01T19:34:02+0900,19,female,1,0123456
c8bf3252-32d2-47e1-bfd6-1aa78e99ead9,2025-01-01T19:34:02+0900,23,male,-1,0123456
a0781c78-e0ec-4b80-9fcf-73350cd66db3,2025-01-01T19:34:03+0900,15,female,1,0123456
6a6468d9-f489-4636-8cdd-0b26511005b8,2025-01-01T19:34:03+0900,17,female,1,0123456
7434119e-0289-4928-b1fa-c1654312ad17,2025-01-01T19:34:03+0900,12,male,-1,0123456
168a91ae-4d66-4f65-a9a2-0f154823f3f7,2025-01-01T19:34:03+0900,10,female,-1,0123456
ca2e1811-cd13-43f4-b12b-4abf1de03648,2025-01-01T19:34:03+0900,31,male,1,0123456
6865dc4c-49ed-4aa9-874c-8523de1da83d,2025-01-01T19:34:03+0900,18,female,-1,0123456
f5cde303-2fde-4a02-93de-8d17b5d0acac,2025-01-01T19:34:03+0900,30,female,1,0123456
d60964a9-f97b-4294-aa67-28dff381ff7e,2025-01-01T19:34:04+0900,22,female,-1,0123456
7c86e2e5-084d-4e9f-873c-c52bee9f0ccc,2025-01-01T19:34:04+0900,13,male,1,0123456
2ac7f83b-e304-4b9d-8c88-30b47ad81d5e,2025-01-01T19:34:04+0900,27,male,1,0123456
6978f428-ef8b-4371-8ef2-8db85451cb88,2025-01-01T19:34:04+0900,22,female,-1,0123456
9aedaa7c-04a3-482b-8767-759db0b9e833,2025-01-01T19:34:04+0900,11,male,1,0123456
54a6c0ea-21e2-4272-86f4-8716a99015ec,2025-01-01T19:34:04+0900,18,female,-1,0123456
3004ca81-56c0-41be-bcd8-6e0042283606,2025-01-01T19:34:04+0900,16,female,-1,0123456
fe790992-0fa7-4e41-b273-1397855ec627,2025-01-01T19:34:04+0900,18,female,-1,0123456
dc459b6a-0042-4bb6-8165-e98e23654bf2,2025-01-01T19:34:04+0900,30,female,-1,0123456
a3e91828-f162-4c7c-b026-9607a8d73854,2025-01-01T19:34:05+0900,20,male,1,0123456
c9dde26b-55e6-4be1-bce3-b5e7291c3e36,2025-01-01T19:34:05+0900,17,male,1,0123456
5a07a7eb-b176-4404-a76d-6b654275ab61,2025-01-01T19:34:05+0900,22,female,1,0123456
ed58bcce-dc5b-49ff-87ac-122cee91cd39,2025-01-01T19:34:05+0900,31,male,1,0123456
b1d0d7da-4182-4395-8321-dffa716d71c9,2025-01-01T19:34:05+0900,30,female,-1,0123456
edbf5ed8-274a-480d-86db-60b63f1ff648,2025-01-01T19:34:05+0900,29,male,-1,0123456
a3caccd7-bcb1-4429-8347-aceb51a048c5,2025-01-01T19:34:05+0900,17,female,-1,0123456
6f9e1d2c-a878-4596-8cc7-1b50eef8dab1,2025-01-01T19:34:05+0900,17,male,1,0123456
98a993e5-f561-4c4d-a158-f5f593626571,2025-01-01T19:34:05+0900,18,female,1,0123456
31c6431f-23ce-4ed9-9d2f-fa1da75801ff,2025-01-01T19:34:05+0900,21,female,-1,0123456
d4f5f749-07d6-4e18-bad7-512fe68f6309,2025-01-01T19:34:05+0900,15,male,-1,0123456
5ad29d65-a594-4c6f-9553-4f82fa5e3427,2025-01-01T19:34:05+0900,16,female,1,0123456
6548c9b1-d120-447f-b78b-cd22f3b51a75,2025-01-01T19:34:05+0900,20,male,-1,0123456
ee969741-9061-4ae8-8ecd-35dd7a7d94d0,2025-01-01T19:34:06+0900,37,male,1,0123456
db828c06-39d2-46b4-acd1-8d43225238cb,2025-01-01T19:34:06+0900,12,male,1,0123456
3b8df0e1-cfb1-4453-b156-c0613182f10f,2025-01-01T19:34:06+0900,17,male,1,0123456
a0b76948-9c33-4045-887b-a94e8f2ae1c2,2025-01-01T19:34:06+0900,12,female,1,0123456
1011f268-0e3a-4e74-9ca2-89eb1c71ffff,2025-01-01T19:34:06+0900,17,female,-1,0123456
e067700a-1de4-430b-90cf-9b4e8b111f25,2025-01-01T19:34:06+0900,20,male,-1,0123456
e6528cd9-bcd9-4bcf-abb4-d8cf17804639,2025-01-01T19:34:06+0900,24,male,-1,0123456
a662074b-6836-4225-a89e-66f1a0d723cc,2025-01-01T19:34:07+0900,19,female,1,0123456
001a8c1e-cce6-433d-95eb-891b3e063d9a,2025-01-01T19:34:07+0900,12,female,1,0123456
adf9fad9-e456-4751-94d5-0f77b0296ca1,2025-01-01T19:34:07+0900,16,male,1,0123456
f06febc6-f62b-4d65-aeaa-8af46eaa26fa,2025-01-01T19:34:07+0900,21,male,-1,0123456
